close_time,volume,n_trades,RSI,Will,CCI,ROC,ADX,TRIX,OBV,MFI,BOP,DX,ATR,STOCH_K,STOCH_D,Price_Change_pct,PREV_TARGET,TARGET,marketcap_usd,google_trends,median_transaction_value_usd,maximum_single_transaction_value_usd,new_coins_generated,fees_usd,difficulty,number_of_blocks,VPT,PVO
2018-01-01,8609.915844,105595,41.33810351380159,-65.67011720601089,-64.87353110871767,-2.331061204408391,36.26913769177998,-1.142990319560966,-23374.426398,63.93713766114734,-0.3141172617097935,43.45469092796564,2050.38290430966,34.329882793989114,49.65409699103565,-0.0244720447080524,0,1.0,229119155396.0,27.73,198.88,186952697.81,1950.0,6311201.93,1931136454487.72,156,-2967.3289523755675,7.13298921
2018-01-02,20078.092111,177728,52.78735654715213,-38.39344573035244,33.809230979008014,-6.462485523305805,31.94253761463875,-1.0211909108690076,-3296.334286999998,65.3093546934679,0.5004702977003801,5.982937151791344,2126.538203693994,61.60655426964756,48.46250444785032,0.0966174369459041,1,1.0,251377913955.0,33.04,261.14,48200278.74,2137.5,9577864.38,1931136454487.72,171,-995.6377265661658,7.736975012510811
2018-01-03,15905.667639,162787,54.73248824796754,-16.37154715447797,93.41775350062396,-3.4959919120258087,28.2340232628034,-0.8005632082224157,12609.333352,65.41926702564605,0.198270500017278,5.9829371517913446,1988.112746023424,83.62845284552202,50.28557250419202,0.0156235534377127,1,1.0,255080562912.0,32.45,277.43,64986028.36,1962.5,11362825.18,1931136454487.72,157,2208.3420387218925,8.824657022809085
2018-01-04,21329.649574,170310,55.94572465208299,-11.117258271138072,75.58068174880854,6.186879103321008,25.692829088590543,-0.5425971878843416,33938.982926,65.24516225064401,0.1028150606478903,10.445664043313425,1898.6623537343628,88.88274172886194,54.672570353479855,0.009385696983346,1,1.0,261795321110.0,30.68,298.335,48454443.26,2100.0,11822419.84,1931136454487.72,168,465.087394794186,11.521021983773082
2018-01-05,23251.491125,192969,69.07290573578692,-3.977892610721275,146.38275344118605,17.95332049044085,25.447096105091653,-0.0960103178555105,57190.474051,67.59867634410946,0.7378311026922952,23.9726982040983,1995.45916034374,96.02210738927872,60.33593024957237,0.1262208192005609,1,1.0,292544135537.0,31.27,339.1,373106956.5,1787.49999925,11892704.24,1931136454487.72,143,3135.0506621374248,12.743658776372293
2018-01-06,18571.457508,158242,69.67955167843917,-2.117876910466245,133.3418118732582,37.216851111856016,25.23646783352117,0.3743486209001112,75761.93155899999,82.49794102375058,0.0966499399250841,23.972698204098293,1872.096423151777,97.88212308953376,71.96655947250012,0.0064503233711018,1,0.0,294217423675.0,28.32,280.815,362825375.1,2100.0,11925782.87,1931136454487.72,168,3054.6489408741822,10.311403175268156
2018-01-07,12493.125558,120269,58.43649664075622,-23.184689488143448,68.93771595718302,17.742826814111034,23.597395801725,0.673057434081259,63268.80600099999,71.91301641029074,-0.6173051625546999,13.762963610947947,1817.5055055586656,76.81531051185655,77.02388180409852,-0.0538823266132741,0,0.0,276634797271.0,28.32,241.81,828351458.96,2025.0,11134367.83,1931136454487.72,162,-553.3667653375217,5.526069296305032
2018-01-08,26600.609912,208642,46.55099968654756,-52.09841805216945,-55.55022625454773,11.379222720478332,24.78073243636213,0.7067703921158186,36668.19608899999,57.15288787029096,-0.3749850440133321,31.88075224418493,2059.3332904788563,47.90158194783055,78.962695968933,-0.0811592683821602,0,0.0,254715263101.0,31.86,265.835,273631433.65,2075.0,10401345.48,1931136454487.72,166,-2727.891378680431,7.825012767668781
2018-01-09,14315.004253,156656,42.48942554645125,-63.61336681759025,-64.55992200476088,-1.874670786113364,25.79502098033681,0.5611033952819477,22353.19183599999,45.24480148209823,-0.3375130125256057,31.880752244184933,1977.849963267591,36.38663318240975,75.3598500993276,-0.033721768235482,0,1.0,245095808695.0,29.5,286.47,79576750.0,2050.0,10886362.76,1931136454487.72,164,-2537.459962653239,3.7065952772055866
2018-01-10,17411.001655,161476,47.84630257384025,-51.99416164097301,-78.3712197968032,-0.0832467018018645,28.090459380130305,0.409315257604681,39764.19349099999,33.48945625301476,0.2774083920300381,41.86308977889126,1955.9213970865064,48.00583835902698,70.27090517268546,0.0351426984237205,1,0.0,251472635522.0,29.5,293.465,56362475.51,2075.0,10746892.13,1931136454487.72,166,130.3939129871962,1.9879745141215464
2018-01-11,33554.723751,239416,35.245330374070406,-68.1664889270529,-120.47734927846211,-12.090409136002824,32.14885546512555,0.0988084806462952,6209.469739999993,31.52207660565909,-0.4767084748422384,56.49923197509704,2186.3154832170053,31.833511072947108,62.12101507898335,-0.1138701472556893,0,1.0,225178724049.0,35.4,230.35,156226694.38,2412.5,9284063.64,1931136454487.72,193,-3142.117525175093,6.278135814737293
2018-01-12,16417.162137,134452,40.717842878710464,-59.2554930847813,-87.26694303258161,-18.987652996187,35.62748068083577,-0.1787321652497508,22626.631877,26.222630924261765,0.3113779522667692,56.49923197509703,2103.953271328862,40.7445069152187,54.22421501126048,0.0378623073460052,1,1.0,234865160377.0,28.32,268.745,95486383.96,2225.0,8549766.55,1931136454487.72,178,-3133.6727959622312,2.323493998352024
2018-01-13,12221.508528,123639,45.73474754844552,-50.70140843093635,-21.927422366867624,-16.75351600693389,36.705619459338536,-0.34860247376578,34848.14040499999,20.84373387745201,0.5264633518338377,43.17445213035514,1928.224232567596,49.29859156906365,47.283710508336185,0.0334583034847398,1,0.0,241268592240.0,25.37,243.04,94760470.66,1862.5,7527009.16,2227847638503.63,149,1039.614122989174,-1.9120640530033448
2018-01-14,17017.894329,152364,39.61756977295076,-57.84511305690429,-66.45390966766215,-16.56368440182464,39.20189621722785,-0.5189639183825978,17830.246075999992,20.565056634785744,-0.4151895159012599,54.17955676456372,1905.663627915082,42.15488694309571,42.33222142708463,-0.0517248416608022,0,1.0,231413491364.0,25.2,241.14,42772713.35,1937.5,6700992.63,2227847638503.63,155,-462.19966448827984,-2.931703914887276
2018-01-15,14652.094705,145362,40.438742468677376,-47.80658536585365,-28.43979509071753,-9.143474870726742,41.34156200970441,-0.6497204473557727,32482.34078099999,34.427169632491434,0.0562057702776272,54.17955676456373,1790.8831096414983,52.19341463414635,42.94534038227261,0.0045963861053363,1,0.0,232242775485.0,26.6,235.35,40895940.0,1875.0,6953913.15,2227847638503.63,150,-809.6350705495414,-4.449325991986278
